age,nationality,zip_code,zip_short,occupation,product_type,industry,income_source,income_range,funds_origin,second_nationality,purpose_of_account,email_domain,pep,phone_country_unsupported,tnc_country,birth_country,tnc_like_birth,care_of_address,phone_country,phone_tnc_country,ip_tnc_country,nat_tnc_country,su_kyci_day,device_token_no,address,is_fraudster
age_46_52,ITA,80014,80,ITA_SELF_EMPLOYED,,,PENSION,,,,,@gmail.com,False,True,ITA       ,ITA,true,False,ITA,True,True,True,0-2,3,Giugliano in Campania,true
age_32_38,FRA,73000,73,,METAL_CARD_MONTHLY,,,,,,,@gmail.com,False,False,FRA       ,,true,False,FRA,True,True,True,0-2,,Chambéry,true
age_25_31,FRA,91160,91,,STANDARD,,,,,,,@gmail.com,False,False,FRA       ,FRA,true,False,FRA,True,True,True,0-2,,Longjumeau,true
age_18_24,FRA,93110,93,,BLACK_CARD_MONTHLY,,,,,,,@gmail.com,False,False,FRA       ,FRA,true,False,FRA,True,True,True,0-2,2,Rosny-sous-Bois,true
age_32_38,FRA,49000,49,,METAL_CARD_MONTHLY,,,,,,,@gmail.com,False,False,FRA       ,,true,False,FRA,True,False,True,0-2,,Angers,true
age_18_24,FRA,59223,59,,,,,,,,,@icloud.com,False,True,FRA       ,FRA,true,False,FRA,True,True,True,0-2,,Roncq,true
age_>60,FRA,06000,06,FREELANCER,,WHOLESALE_TRADE,PENSION,,,,,@hotmail.fr,False,True,FRA       ,TUN,false,False,FRA,True,True,True,0-2,3,Nice,true
age_>60,ITA,74023,74,ITA_FREELANCER_AGROTECNICI,,,PENSION,,,,,@gmail.com,False,True,ITA       ,ITA,true,False,FRA,False,NULL,True,6-8,2,Grottaglie,true
age_39_45,ITA,91100,91,FREELANCER,BUSINESS_SMART,,SALARY,,,,,@gmail.com,False,False,ITA       ,ITA,true,False,ITA,True,False,True,0-2,3,Trapani,true
age_46_52,ESP,29631,29,,,MANUFACTURING_AND_INDUSTRIAL_PRODUCTION,RENTAL_INCOME,,,,DAY_TO_DAY_EXPENSES,@gmail.com,False,True,ESP       ,ESP,true,False,DEU,False,False,True,0-2,2,Benalmadena,true
age_25_31,CHN,41006,41,,STANDARD,,,,,,,@gmail.com,False,False,ESP       ,,true,False,ESP,True,True,False,0-2,,Sevilla,true
age_18_24,POL,03-966,03,,STANDARD,,,,,,,@gmail.com,False,False,POL       ,POL,true,False,POL,True,True,True,0-2,,Warsaw,true
age_25_31,LVA,13913,13,FREELANCER,STANDARD,,,,,,,@gmail.com,False,False,EST       ,,true,False,EST,True,True,False,0-2,,tallinn,true
age_46_52,DEU,01169,01,,FLEX_ACCOUNT_MONTHLY,,,,,,,@gmail.com,False,False,DEU       ,DEU,true,False,DEU,True,True,True,0-2,,Dresden,true
age_46_52,ESP,46008,46,CONSTRUCTION_REAL_ESTATE,,,,,,,,@outlook.es,False,True,ESP       ,,true,False,ESP,True,True,True,0-2,,València,true
age_25_31,BEL,93390,93,FREELANCER,,CONSTRUCTION,,,,,,@yahoo.com,False,True,FRA       ,,true,False,FRA,True,True,False,0-2,,Clichy-sous-Bois,true
age_25_31,FRA,44600,44,FREELANCER,BUSINESS_BLACK,OTHER_SERVICE_ACTIVITIES,,,,,,@yahoo.com,False,False,FRA       ,,true,False,FRA,True,True,True,0-2,,Saint-Nazaire,true
age_18_24,ITA,00136,00,ITA_STUDENT,,,REDEPLOYMENT_OF_SAVINGS,,,,,@gmail.com,False,True,ITA       ,ITA,true,False,ITA,True,NULL,True,0-2,1,Rome,true
age_18_24,FRA,93120,93,,STANDARD,VEHICLE_TRADE_AND_SERVICES,ASSET_SALES,,,,,@yahoo.com,False,False,FRA       ,FRA,true,False,FRA,True,True,True,0-2,1,La Courneuve,true
age_25_31,NGA,39012,39,FREELANCER,BUSINESS_BLACK,OTHER_SERVICE_ACTIVITIES,,,,,,@gmail.com,False,False,ITA       ,,true,False,ITA,True,True,False,0-2,,Merano,true
age_32_38,COL,2518DE,25,,STANDARD,,,,,,,@gmail.com,False,False,NLD       ,COL,false,False,COL,False,False,False,0-2,3,The Hague,true
age_46_52,FRA,93320,93,FREELANCER,BUSINESS_BLACK,CONSTRUCTION,,,,,,@gmail.com,False,False,FRA       ,,true,False,FRA,True,True,True,0-2,,Les Pavillons-sous-Bois,true
age_18_24,FRA,75018,75,FREELANCER,BUSINESS_BLACK,TRAVEL_AGENCIES,,,,,,@gmail.com,False,False,FRA       ,FRA,true,False,FRA,True,True,True,0-2,2,Paris,true
age_>60,FRA,13014,13,,,,,,,,,@yahoo.fr,False,True,FRA       ,MDG,false,False,FRA,True,True,True,0-2,,Marseille,true
age_46_52,FRA,91480,91,FREELANCER,BUSINESS_CARD,OTHER,,,,,,@gmail.com,False,False,FRA       ,,true,False,FRA,True,True,True,3-5,,Quincy-sous-Sénart,true
age_32_38,DZA,00012,00,,STANDARD,,,,,,,@gmail.com,False,False,ITA       ,,true,False,ITA,True,True,False,12+,,Villalba di Guidonia,true
age_>60,ITA,90144,90,ITA_FREELANCER,,,SALE_OF_ASSETS,,,,,@libero.it,False,True,ITA       ,ITA,true,False,ITA,True,True,True,0-2,1,Palermo,true
age_>60,ITA,20867,20,FREELANCER_OTHER,,,,,,,,@gmail.com,False,True,ITA       ,,true,False,ITA,True,True,True,0-2,,Cascina Doppia,true
age_39_45,PRT,2910-075,29,,STANDARD,,,,,,,@gmail.com,False,False,PRT       ,PRT,true,False,PRT,True,True,True,0-2,,Setúbal,true
age_32_38,FRA,93000,93,FREELANCER,,LEGAL_TAX_AUDIT_AND_ACCOUNTING_SERVICES,SALARY,BETWEEN_1001_AND_2500_EURO,EUROPE_EU,,SALARY_OR_PENSION,@yahoo.fr,False,True,FRA       ,FRA,true,False,FRA,True,True,True,0-2,1,Bobigny,true
age_32_38,FRA,94500,94,,,LOGISTICS_WHOLESALE_AND_RETAIL,EMPLOYMENT,,,,,@live.fr,False,True,FRA       ,FRA,true,False,FRA,True,True,True,0-2,1,Champigny-sur-Marne,true
age_39_45,ITA,24064,24,,STANDARD,,,,,,,@gmail.com,False,False,ITA       ,,true,False,ITA,True,True,True,12+,,Grumello del Monte,true
age_39_45,FRA,38490,38,,METAL_CARD_MONTHLY,,,,,,,@gmail.com,False,False,FRA       ,FRA,true,False,FRA,True,True,True,0-2,,Aoste,true
age_46_52,ITA,51100,51,,,,,,,,,@libero.it,False,True,ITA       ,,true,False,ITA,True,True,True,0-2,,Pistoia,true
age_>60,AUT,1100,11,,,,,,,,,@gmail.com,False,True,AUT       ,AUT,true,False,AUT,True,True,True,0-2,,Wien,true
age_18_24,MAR,04006,04,STUDENT,STANDARD,MANUFACTURING_AND_INDUSTRIAL_PRODUCTION,FAMILY_INCOME,,,,,@gmail.com,False,False,ESP       ,ESP,true,False,ESP,True,True,False,0-2,2,Almería,true
age_18_24,ITA,80147,80,,STANDARD,,,,,,,@libero.it,False,False,ITA       ,,true,False,ITA,True,True,True,0-2,,Napoli,true
age_46_52,PRT,93700,93,FREELANCER,,WHOLESALE_TRADE,,,,,,@gmail.com,False,True,FRA       ,IND,false,False,FRA,True,True,False,0-2,1,Drancy,true
age_39_45,SGP,75001,75,,,,,,,,,@gmail.com,False,True,FRA       ,SGP,false,False,FRA,True,True,False,0-2,2,Paris,true
age_53_59,ROU,4901,49,FREELANCER,,OTHER_MANUFACTURING_INDUSTRY,,,,,,@gmail.com,False,True,AUT       ,ROU,false,False,AUT,True,True,False,0-2,4+,Ottnang am Hausruck,true
age_25_31,PRT,cr0 1yb,cr,,METAL_CARD_MONTHLY,,,,,,,@hotmail.com,False,True,GBR       ,,true,False,GBR,True,True,False,3-5,,croydon,true
age_25_31,CIV,93110,93,,STANDARD,,,,,,,@icloud.com,False,False,FRA       ,CIV,false,True,FRA,True,True,False,0-2,,Rosny-sous-Bois,true
age_18_24,ITA,24068,24,,SMART,,,,,,,@gmail.com,False,False,ITA       ,,true,False,ITA,True,False,True,0-2,,Seriate,true
age_18_24,FRA,75018,75,,STANDARD,,,,,,,@gmail.com,False,False,FRA       ,FRA,true,False,FRA,True,True,True,0-2,,Paris,true
age_18_24,FRA,95210,95,STUDENT,,,EMPLOYMENT,,,,,@gmail.com,False,True,FRA       ,FRA,true,False,FRA,True,True,True,0-2,1,Saint gratien,true
age_18_24,FRA,95870,95,,STANDARD,,,,,,,@gmail.com,False,False,FRA       ,,true,False,FRA,True,True,True,0-2,,Bezon,true
age_18_24,FRA,27431,27,FREELANCER,,SPORT_GAMBLING_ENTERTAINMENT_AND_GASTRONOMY,EMPLOYMENT,,,,,@gmail.com,False,True,FRA       ,FRA,true,False,BEN,False,True,True,0-2,3,Nante,true
age_39_45,GRC,17455,17,FREELANCER,BUSINESS_CARD,TRANSPORT,,,,,,@gmail.com,False,False,GRC       ,,true,False,GRC,True,True,True,12+,,Alimos,true
age_46_52,TUR,57190,57,,,CONSTRUCTION,SALARY,BETWEEN_2501_AND_5000_EURO,EUROPE_EU,,SALARY_OR_PENSION,@hotmail.com,False,True,FRA       ,TUR,false,False,FRA,True,True,False,0-2,3,Florange,true
age_25_31,KAZ,76756,76,FREELANCER,,MANUFACTURE_FOOD_FEED_PRODUCTS,,,,,,@yahoo.com,False,True,DEU       ,KAZ,false,False,USA,False,False,False,0-2,3,Bellheim,true
age_>60,DEU,rjcbnbc,rj,,,,,,,,,@hotmail.de,False,True,DEU       ,,true,False,DEU,True,NULL,True,12+,,roazccdgsa,true
age_53_59,ESP,05480,05,FREELANCER,BUSINESS_METAL,,PENSION,,,,,@gmail.com,False,False,ESP       ,ESP,true,False,ESP,True,True,True,0-2,2,Candeleda,true
age_18_24,FRA,06270,06,STUDENT,SMART,,EMPLOYMENT,,,,,@gmail.com,False,False,FRA       ,FRA,true,False,FRA,True,True,True,0-2,1,Villeneuve-Loubet,true
age_53_59,COL,28047,28,CONSTRUCTION_REAL_ESTATE,,CONSTRUCTION,EMPLOYMENT,,,,,@gmail.com,False,True,ESP       ,COL,false,False,ESP,True,True,False,0-2,2,Madrid,true
age_39_45,ZMB,28850,28,UNEMPLOYED,,,,,,,,@hotmail.com,False,True,ESP       ,ZMB,false,False,ESP,True,True,False,0-2,,"TORREJON DE ARDOZ, MADRID",true
age_32_38,FRA,59100,59,FREELANCER,,OTHER_SERVICE_ACTIVITIES,,,,,,@outlook.fr,False,True,FRA       ,,true,False,FRA,True,True,True,3-5,,Roubaix,true
age_46_52,NLD,8224 AH,82,,,,,,,,,@gmail.com,False,True,NLD       ,NLD,true,False,NLD,True,NULL,True,12+,,Lelystad,true
age_18_24,FRA,94110,94,,,,,,,,,@gmail.com,False,True,FRA       ,FRA,true,False,FRA,True,True,True,0-2,,Arcueil,true
age_18_24,ESP,41020,41,UNEMPLOYED,,,FAMILY_INCOME,,,,TRAVEL_OR_RELOCATION,@gmail.com,False,True,ESP       ,ESP,true,False,ESP,True,NULL,True,0-2,3,Sevilla,true
age_18_24,FRA,93170,93,FREELANCER,BUSINESS_CARD,FINANCIAL_SERVICES,,,,,,@yahoo.fr,False,False,FRA       ,FRA,true,False,FRA,True,True,True,0-2,3,Bagnolet,true
age_18_24,FRA,93210,93,FREELANCER,BUSINESS_BLACK,MANUFACTURE_CHEMICAL_PRODUCTS,,,,,,@gmail.com,False,False,FRA       ,FRA,true,False,FRA,True,True,True,0-2,2,Saint-Denis,true
age_39_45,HUN,13012,13,FREELANCER,BUSINESS_SMART,CONSTRUCTION,EMPLOYMENT,,,,,@gmail.com,False,False,FRA       ,UKR,false,False,NLD,False,NULL,False,0-2,1,Marseille,true
age_18_24,NOR,4085,40,,SMART,MEDIA_TECHNOLOGY_AND_CONSULTING,EMPLOYMENT,,,,SALARY_OR_PENSION,@gmail.com,False,False,NOR       ,NOR,true,False,NOR,True,True,True,0-2,2,Hundvag,true
