age,nationality,name_email,zip_code,zip_short,occupation,product_type,industry,income_source,income_range,funds_origin,second_nationality,purpose_of_account,email_domain,pep,phone_country_unsupported,tnc_country,birth_country,tnc_like_birth,care_of_address,phone_country,phone_tnc_country,ip_tnc_country,nat_tnc_country,su_kyci_day,device_token_no,address,is_fraudster
age_39_45,EST,true,10120,10,FREELANCER,BUSINESS_CARD,WHOLESALE_TRADE,,,,,,@hotmail.co.uk,False,False,EST       ,EST,true,False,EST,True,True,True,0-2,,Tallinn,true
age_25_31,DEU,true,21244,21,FREELANCER,,RETAIL_TRADE,,,,,,@gmx.de,False,True,DEU       ,,true,False,DEU,True,True,True,0-2,,Buchholz,true
age_25_31,FRA,false,13400,13,FREELANCER,STANDARD,VEHICLE_TRADE_AND_SERVICES,FAMILY_INCOME,,,,,@hotmail.fr,False,False,FRA       ,FRA,true,False,FRA,True,True,True,0-2,2,Aubagne,true
age_18_24,GBR,true,CR4 1BU,CR,,STANDARD,,,,,,,@outlook.com,False,True,GBR       ,,true,False,GBR,True,True,True,0-2,,Mitcham,true
age_32_38,ARG,true,10121,10,ITA_EMPLOYEE_PRIVATE_SECTOR,BUSINESS_SMART,,SALARY,,,,,@gmail.com,False,True,ITA       ,ARG,false,False,ARE,False,False,False,0-2,3,Torino,true
age_25_31,CIV,true,74100,74,FREELANCER,,CONSTRUCTION,ASSET_SALES,,,,ONLINE_TRADING_OR_CRYPTOCURRENCY,@gmail.com,False,True,FRA       ,CIV,false,False,FRA,True,NULL,False,12+,,Annemasse,true
age_18_24,FRA,false,93320,93,FREELANCER,BUSINESS_BLACK,SUPPLY_DISPOSAL,,,,,,@gmail.com,False,False,FRA       ,,true,False,FRA,True,True,True,0-2,,Les Pavillons-sous-Bois,true
age_32_38,NLD,false,1018 LJ,10,,,,,,,,,@gmail.com,False,True,NLD       ,ESP,false,False,NLD,True,True,True,0-2,,Amsterdam,true
age_25_31,RUS,true,10115,10,FREELANCER,,MEDIA_TECHNOLOGY_AND_CONSULTING,EMPLOYMENT,,,,,@gmail.com,False,True,DEU       ,RUS,false,False,RUS,False,NULL,False,12+,,Berlin,true
age_25_31,NGA,false,9711 CS,97,,STANDARD,,,,,,,@yahoo.com,False,False,NLD       ,,true,False,NLD,True,False,False,0-2,,Groningen,true
age_53_59,ITA,true,42124,42,ITA_SELF_EMPLOYED,BUSINESS_BLACK,,SALARY,,,,,@gmail.com,False,False,ITA       ,ITA,true,False,ITA,True,True,True,0-2,,Reggio Emilia,true
age_25_31,MAR,false,30110,30,FREELANCER,BUSINESS_CARD,,EMPLOYMENT,,,,,@gmail.com,False,False,ESP       ,MAR,false,False,ESP,True,False,False,0-2,2,Cabezo de Torres,true
age_18_24,FRA,false,52000,52,UNEMPLOYED,METAL_CARD_MONTHLY,,FAMILY_INCOME,,,,,@gmail.com,False,False,FRA       ,FRA,true,False,FRA,True,False,True,0-2,1,Chaumont,true
age_25_31,FRA,true,76920,76,,STANDARD,,,,,,,@gmail.com,False,False,FRA       ,,true,False,FRA,True,True,True,0-2,,Amfreville-la-Mi-Voie,true
age_32_38,ESP,false,46360,46,UNEMPLOYED,STANDARD,,GOVERNMENT_PAYMENTS,,,,SALARY_OR_PENSION,@hotmail.com,False,False,ESP       ,ESP,true,False,ESP,True,True,True,0-2,1,Bunol,true
age_18_24,POL,true,32-590,32,FREELANCER,BUSINESS_CARD,,GAMBLING_WINNINGS,,,,,@interia.pl,False,False,POL       ,POL,true,False,POL,True,True,True,0-2,3,Libiąż,true
age_>60,DEU,true,69123,69,,FLEX_ACCOUNT_MONTHLY,,,,,,,@outlook.de,False,False,DEU       ,,true,False,DEU,True,True,True,0-2,,Heidelberg,true
age_25_31,FRA,true,67150,67,,,HEALTH_SERVICES_AND_SOCIAL_WELFARE,SALARY,BETWEEN_1001_AND_2500_EURO,EUROPE_EU,,DAY_TO_DAY_EXPENSES,@gmail.com,False,True,FRA       ,FRA,true,False,FRA,True,True,True,0-2,2,Erstein,true
age_18_24,FRA,true,93190,93,STUDENT,STANDARD,,GRANTS,,,,,@gmail.com,False,False,FRA       ,FRA,true,False,FRA,True,True,True,0-2,1,Livry-Gargan,true
age_32_38,SRB,true,75020,75,,STANDARD,,,,,,,@gmail.com,False,False,FRA       ,,true,False,FRA,True,True,False,0-2,,Paris,true
age_25_31,FR,false,91170,91,STUDENT,METAL_CARD_MONTHLY,,,,,,,@yahoo.fr,False,False,FRA       ,,true,False,FRA,True,True,True,0-2,,Viry Chatillon,true
age_18_24,NLD,false,3078ke,30,,SMART,CONSTRUCTION,EMPLOYMENT,,,,ONLINE_TRADING_OR_CRYPTOCURRENCY,@gmail.com,False,False,NLD       ,NLD,true,False,NLD,True,True,True,0-2,1,Rotterdam,true
age_>60,FRA,false,38260,38,FREELANCER,,LOGISTICS_WHOLESALE_AND_RETAIL,EMPLOYMENT,,,,FREELANCER_ACTIVITY,@gmail.com,False,False,FRA       ,FRA,true,False,FRA,True,False,True,0-2,2,La côte saint andre,true
age_25_31,FRA,true,93430,93,,,,,,,,,@gmail.com,False,True,FRA       ,FRA,true,True,FRA,True,True,True,0-2,,Villetaneuse,true
age_18_24,FRA,false,75012,75,,STANDARD,,,,,,,@outlook.fr,False,False,FRA       ,,true,False,FRA,True,True,True,0-2,,Paris,true
age_25_31,DEU,true,10115,10,,BLACK_CARD_MONTHLY,MEDIA_TECHNOLOGY_AND_CONSULTING,EMPLOYMENT,,,,DAY_TO_DAY_EXPENSES,@yahoo.de,False,False,DEU       ,DEU,true,False,DEU,True,True,True,0-2,2,Berlin,true
age_39_45,FRA,true,62000,62,,,,,,,,,@gmail.com,False,True,FRA       ,,true,False,ZAF,False,True,True,0-2,,Arras,true
age_>60,FRA,true,14000,14,,,,,,,,,@gmail.com,False,True,FRA       ,FRA,true,False,FRA,True,True,True,0-2,,Caen,true
age_18_24,BEL,true,3190,31,STUDENT,,,DONATIONS,,,,ONLINE_PURCHASES,@gmail.com,False,True,BEL       ,BEL,true,False,BEL,True,True,True,0-2,2,Boortmeerbeek,true
age_18_24,FRA,false,45140,45,FREELANCER,BUSINESS_CARD,OTHER_SERVICE_ACTIVITIES,,,,,,@gmail.com,False,False,FRA       ,,true,False,FRA,True,True,True,0-2,,Ingré,true
age_46_52,ITA,true,80046,80,ITA_RETIRED,STANDARD,,PENSION,,,,,@gmail.com,False,False,ITA       ,DEU,false,False,ITA,True,True,True,0-2,2,San Giorgio a cremano,true
age_46_52,FRA,false,91940,91,FREELANCER,,CONSTRUCTION,EMPLOYMENT,,,,,@yopmail.com,False,True,FRA       ,FRA,true,False,FRA,True,True,True,0-2,1,Les ulis,true
age_25_31,FRA,true,75018,75,,STANDARD,,,,,,,@hotmail.com,False,False,FRA       ,FRA,true,False,FRA,True,True,True,0-2,,Paris,true
age_53_59,FRA,true,77470,77,,STANDARD,,,,,,,@gmail.com,False,False,FRA       ,,true,False,FRA,True,True,True,0-2,,Trilport,true
age_>60,ESP,false,20577,20,PENSIONER,,,,,,,,@gmail.com,False,True,ESP       ,,true,False,ESP,True,True,True,3-5,,Antzuola,true
age_53_59,ESP,false,46520,46,UNEMPLOYED,,,PENSION,,,,,@gmail.com,False,True,ESP       ,ESP,true,False,ESP,True,True,True,0-2,1,Port de Sagunt,true
age_18_24,FRA,true,94110,94,,STANDARD,,,,,,,@gmail.com,False,False,FRA       ,FRA,true,False,FRA,True,True,True,0-2,,Arceuil,true
age_25_31,FRA,true,93320,93,,STANDARD,,,,,,,@yahoo.fr,False,False,FRA       ,,true,False,FRA,True,False,True,0-2,,Les Pavillons-sous-Bois,true
age_39_45,CHN,true,08011,08,STUDENT,,,FAMILY_INCOME,,,,,@gmail.com,False,True,ESP       ,CHN,false,False,ESP,True,True,False,0-2,1,Barcelona,true
age_18_24,AUT,true,6020,60,,STANDARD,HEALTH_SERVICES_AND_SOCIAL_WELFARE,EMPLOYMENT,,,,ONLINE_PURCHASES,@gmail.com,False,False,AUT       ,AUT,true,False,AUT,True,True,True,0-2,1,Innsbruck,true
age_>60,DEU,true,65582,65,PENSIONER,STANDARD,,,,,,,@gmail.com,False,False,DEU       ,,true,False,DEU,True,True,True,12+,,Diez,true
age_46_52,HUN,false,LE4 7PF,LE,,STANDARD,,,,,,,@icloud.com,False,True,GBR       ,,true,False,GBR,True,True,False,12+,,Leicester,true
age_39_45,FRA,true,93160,93,,STANDARD,,,,,,,@hotmail.fr,False,False,FRA       ,,true,False,FRA,True,False,True,3-5,,Noisy-le-Grand,true
age_25_31,ITA,true,85050,85,ITA_SELF_EMPLOYED,,,SALARY,,,,,@gmail.com,False,True,ITA       ,ITA,true,False,ITA,True,True,True,0-2,2,Tito,true
age_25_31,USA,true,CV2 4HW,CV,,STANDARD,,,,,,,@gmail.com,False,True,GBR       ,,true,False,GBR,True,True,False,0-2,,Coventry,true
age_18_24,DEU,true,14612,14,STUDENT,METAL_CARD_MONTHLY,,FAMILY_INCOME,,,,,@gmail.com,False,False,DEU       ,DEU,true,False,DEU,True,True,True,0-2,1,Falkensee,true
age_32_38,FRA,true,95870,95,FREELANCER,BUSINESS_CARD,OTHER,,,,,,@gmail.com,False,False,FRA       ,,true,False,FRA,True,True,True,0-2,,Bezons,true
age_39_45,LTU,true,12111,12,,STANDARD,,,,,,,@gmail.com,False,True,LTU       ,,true,False,LTU,True,True,True,0-2,,Vilnius,true
age_25_31,SVK,false,97944,97,FREELANCER,,OTHER_MANUFACTURING_INDUSTRY,,,,,,@yahoo.de,False,True,DEU       ,,true,False,DEU,True,True,False,0-2,,Boxberg,true
age_32_38,BEL,true,8587,85,FREELANCER,BUSINESS_CARD,BANKING_AND_INSURANCE,EMPLOYMENT,,,,DAY_TO_DAY_EXPENSES,@gmail.com,False,False,BEL       ,BEL,true,False,BEL,True,True,True,0-2,1,Spiere-Helkijn,true
age_18_24,ITA,true,5384 AL,53,FREELANCER,,LOGISTICS_WHOLESALE_AND_RETAIL,EMPLOYMENT,,,,,@gmail.com,False,True,NLD       ,ITA,false,False,NLD,True,False,False,0-2,1,Heesch,true
age_32_38,FRA,true,92400,92,FREELANCER,,LEGAL_TAX_AUDIT_AND_ACCOUNTING_SERVICES,EMPLOYMENT,,,,FREELANCER_ACTIVITY,@gmail.com,False,True,FRA       ,FRA,true,True,FRA,True,NULL,True,0-2,1,Courbevoie,true
age_18_24,GBR,true,E2 6ja,E2,,STANDARD,,,,,,,@gmail.com,False,True,GBR       ,,true,False,GBR,True,True,True,0-2,,London,true
age_18_24,FRA,true,60100,60,,BUSINESS_BLACK,PUBLIC_SERVICES_AND_HOSPITALITY,EMPLOYMENT,,,,SALARY_OR_PENSION,@outlook.fr,False,False,FRA       ,FRA,true,False,FRA,True,True,True,0-2,2,Creil,true
age_25_31,GTM,false,08918,08,,,,,,,,,@gmail.com,False,True,FRA       ,GTM,false,False,ESP,False,NULL,False,12+,,Barcelona,true
age_25_31,RUS,false,41121,41,ITA_SELF_EMPLOYED,SMART,,FAMILY,,,,,@mail.ru,False,False,ITA       ,RUS,false,False,ITA,True,True,False,0-2,2,Modena,true
age_25_31,FRA,true,30170,30,,METAL_CARD_MONTHLY,,,,,,,@gmail.com,False,False,FRA       ,,true,False,FRA,True,True,True,0-2,,Saint-Hippolyte-du-Fort,true
age_39_45,PRT,false,78700,78,,STANDARD,,,,,,,@live.fr,False,False,FRA       ,FRA,true,False,FRA,True,True,False,0-2,,Conflans-Sainte-Honorine,true
age_32_38,DEU,true,45699,45,,FLEX_ACCOUNT_MONTHLY,,,,,,,@gmx.de,False,False,DEU       ,DEU,true,False,DEU,True,True,True,0-2,,Herten,true
age_53_59,DEU,true,42329,42,,,LOGISTICS_WHOLESALE_AND_RETAIL,EMPLOYMENT,,,,,@t-online.de,False,True,DEU       ,MAR,false,False,DEU,True,True,True,0-2,2,Wuppertal,true
age_53_59,AUT,true,2261,22,PENSIONER,,,PENSION,,,,DAY_TO_DAY_EXPENSES,@gmail.com,False,True,AUT       ,AUT,true,False,AUT,True,True,True,0-2,1,Angern an der March,true
age_18_24,ROU,true,02-220,02,,METAL_CARD_MONTHLY,,,,,,,@gmail.com,False,True,POL       ,ROU,false,False,ROU,False,False,False,0-2,1,Warszawa,true
age_53_59,ITA,false,00154,00,ITA_FREELANCER,BLACK_CARD_MONTHLY,,SALARY,,,,,@gmail.com,False,True,ITA       ,ITA,true,False,UKR,False,False,True,0-2,1,Roma,true
age_25_31,RUS,false,03014,03,FREELANCER,BUSINESS_METAL,SPORT_GAMBLING_ENTERTAINMENT_AND_GASTRONOMY,EMPLOYMENT,,,,,@gmail.com,False,True,ESP       ,RUS,false,False,USA,False,NULL,False,0-2,2,ALICANTE,true
age_32_38,ITA,true,70132,70,FREELANCER_OTHER,BLACK_CARD_MONTHLY,,,,,,,@icloud.com,False,False,ITA       ,,true,False,ITA,True,True,True,0-2,,Bari Puglia,true
age_53_59,ITA,true,54100,54,FREELANCER,STANDARD,,,,,,,@gmail.com,False,False,ITA       ,,true,False,,NULL,True,True,0-2,,Massa,true
age_32_38,FRA,true,94190,94,,,,,,,,,@gmail.com,False,True,FRA       ,TUN,false,False,FRA,True,True,True,0-2,,Villeneuve-Saint-Georges,true
age_25_31,POL,true,74-320,74,FREELANCER,STANDARD,MANUFACTURE_TEXTILES,,,,,,@yahoo.com,False,False,POL       ,POL,true,False,POL,True,True,True,0-2,,Moczkowo,true
age_18_24,LV,false,Lv-1084,Lv,STUDENT,STANDARD,,,,,,,@inbox.lv,False,True,LVA       ,,true,False,LVA,True,True,True,0-2,,Riga,true
age_46_52,BRA,false,2415-017,24,,,,,,,,,@gmail.com,False,True,PRT       ,BRA,false,False,PRT,True,NULL,False,12+,,Leiria,true
age_>60,FRA,true,92600,92,,,,,,,,,@gmail.com,False,True,FRA       ,FRA,true,False,ESP,False,False,True,0-2,2,ASNIÈRES-SUR-SEINE,true
age_32_38,FRA,true,06200,06,,METAL_CARD_MONTHLY,,,,,,,@gmail.com,False,False,FRA       ,,true,False,FRA,True,True,True,12+,,NICE,true
age_25_31,NLD,false,5348,53,WORKER,,,,,,,,@n26.com,False,True,NLD       ,,true,False,,NULL,True,True,0-2,,Oss,true
age_25_31,LUX,true,66706,66,,STANDARD,PUBLIC_SERVICES_AND_HOSPITALITY,EMPLOYMENT,,,,,@outlook.fr,False,False,DEU       ,CPV,false,False,LUX,False,True,False,0-2,1,Perl-Besch,true
age_39_45,DZA,true,75011,75,FREELANCER,BUSINESS_METAL,TRANSPORT,,,,,,@icloud.com,False,False,FRA       ,DZA,false,False,FRA,True,False,False,0-2,,Paris,true
age_25_31,FRA,false,95190,95,,STANDARD,,,,,,,@hotmail.fr,False,False,FRA       ,,true,False,FRA,True,True,True,0-2,,Goussainville,true
age_25_31,CHN,true,72076,72,,STANDARD,,,,,,,@gmail.com,False,False,DEU       ,CHN,false,False,DEU,True,True,False,0-2,,Tübingen,true
age_39_45,FRA,false,93330,93,,STANDARD,,,,,,,@yahoo.com,False,False,FRA       ,FRA,true,True,FRA,True,True,True,0-2,2,Neuilly sur marne,true
age_18_24,FRA,false,75018,75,FREELANCER,,AGRICULTURE_AND_FORESTRY,EMPLOYMENT,,,,,@gmail.com,False,True,FRA       ,FRA,true,False,FRA,True,True,True,0-2,2,Paris,true
age_39_45,NOR,false,0486,04,,,,,,,,,@gmail.com,False,True,NOR       ,,true,False,NOR,True,True,True,12+,1,Oslo,true
age_25_31,FRA,false,75013,75,,BLACK_CARD_MONTHLY,MANUFACTURING_AND_INDUSTRIAL_PRODUCTION,EMPLOYMENT,,,,,@gmail.com,False,False,FRA       ,FRA,true,False,FRA,True,True,True,0-2,3,Paris,true
age_25_31,COL,false,1067 SV,10,,STANDARD,,,,,,,@gmail.com,False,False,NLD       ,COL,false,False,ESP,False,True,False,0-2,,Amsterdam,true
age_46_52,FRA,false,77420,77,FREELANCER,BUSINESS_METAL,ENTERTAINMENT,,,,,,@gmail.com,False,False,FRA       ,,true,False,FRA,True,True,True,0-2,,Champs-sur-Marne,true
age_25_31,ESP,true,28033,28,,,BANKING_AND_INSURANCE,EMPLOYMENT,,,,,@gmail.com,False,True,ESP       ,ESP,true,False,ESP,True,False,True,0-2,2,Madrid,true
age_25_31,PRT,false,4445210,44,,,MANUFACTURING_AND_INDUSTRIAL_PRODUCTION,EMPLOYMENT,,,,TRAVEL_OR_RELOCATION,@gmail.com,False,True,PRT       ,BRA,false,False,BRA,False,False,True,0-2,1,Alfena,true
age_25_31,FRA,false,75005,75,,,,,,,,,@gmail.com,False,True,FRA       ,FRA,true,False,MAR,False,NULL,True,0-2,,Paris,true
age_18_24,FRA,true,95870,95,,STANDARD,,,,,,,@gmail.com,False,False,FRA       ,,true,False,FRA,True,True,True,0-2,,Bezons,true
age_25_31,ITA,true,42014,42,,STANDARD,,,,,,,@hotmail.it,False,False,ITA       ,,true,False,ITA,True,True,True,12+,,Roteglia,true
age_32_38,PAK,true,M74rg,M7,,METAL_CARD_MONTHLY,,,,,,,@gmail.com,False,True,GBR       ,,true,False,GBR,True,True,False,0-2,,Salford,true
age_>60,ESP,false,19162,19,PENSIONER,,,PENSION,,,,,@gmail.com,False,True,ESP       ,ESP,true,False,ESP,True,NULL,True,0-2,2,Pioz,true
age_32_38,FRA,true,78700,78,FREELANCER,,FINANCIAL_SERVICES,,,,,,@gmail.com,False,True,FRA       ,FRA,true,False,FRA,True,NULL,True,12+,,Conflant saint honorinne,true
age_25_31,ITA,false,36026,36,ITA_FREELANCER,STANDARD,,LOTTERY_WINNING,,,,,@icloud.com,False,False,ITA       ,BRA,false,False,ITA,True,False,True,0-2,2,pojana maggiore,true
age_32_38,USA,true,Rm175fa,Rm,,STANDARD,,,,,,,@gmail.com,False,True,GBR       ,,true,False,GBR,True,True,False,0-2,,Grays,true
age_18_24,FRA,false,42300,42,,BUSINESS_CARD,VEHICLE_TRADE_AND_SERVICES,SALARY,BETWEEN_1001_AND_2500_EURO,EUROPE_EU,,PERSONAL_PROJECTS,@gmail.com,False,False,FRA       ,FRA,true,False,FRA,True,True,True,0-2,1,Roanne,true
age_18_24,FRA,false,93000,93,UNEMPLOYED,STANDARD,,FAMILY_INCOME,,,,,@gmail.com,False,False,FRA       ,FRA,true,False,FRA,True,True,True,0-2,2,Bobigny,true
age_>60,ESP,false,43840,43,FREELANCER,,,PENSION,,,,,@gmail.com,False,True,ESP       ,ESP,true,False,ESP,True,NULL,True,12+,,Salou,true
age_18_24,FRA,true,75010,75,STUDENT,,,GRANTS,,,,,@gmail.com,False,True,FRA       ,FRA,true,False,FRA,True,True,True,0-2,3,Paris,true
age_32_38,FRA,false,28120,28,PENSIONER,METAL_CARD_MONTHLY,,GOVERNMENT_PAYMENTS,,,,,@gmail.com,False,False,FRA       ,FRA,true,True,FRA,True,True,True,0-2,1,Illiers-Combray,true
age_25_31,ITA,false,80021,80,ITA_UNEMPLOYED,,,SELLING_OF_REAL_ESTATE_WEALTH,,,,,@libero.it,False,True,ITA       ,ITA,true,False,ITA,True,True,True,0-2,2,AFRAGOLA,true
age_53_59,FRA,true,38000,38,,,,,,,,,@gmail.com,False,True,FRA       ,FRA,true,False,FRA,True,True,True,0-2,2,Grenoble,true
age_32_38,FRA,false,93330,93,,STANDARD,,,,,,,@gmail.com,False,False,FRA       ,FRA,true,False,FRA,True,True,True,0-2,,NEUILLY SUR MARNE,true
age_25_31,FRA,true,77220,77,,STANDARD,,,,,,,@gmail.com,False,False,FRA       ,FRA,true,False,FRA,True,True,True,0-2,1,Tournan-en-Brie,true
age_>60,FRA,false,93600,93,,,,,,,,,@gmail.com,False,True,FRA       ,FRA,true,False,FRA,True,False,True,0-2,,Aulnay-sous-Bois,true
age_46_52,LVA,true,LV-2111,LV,,STANDARD,,,,,,,@atlantix.lv,False,True,LVA       ,,true,False,LVA,True,True,True,0-2,,"Ramava, Kekavas novads",true
age_39_45,IND,true,3460-256,34,,,MANUFACTURING_AND_INDUSTRIAL_PRODUCTION,EMPLOYMENT,,,,SALARY_OR_PENSION,@gmail.com,False,True,PRT       ,IND,false,False,PRT,True,True,False,0-2,2,Tondela,true
age_25_31,FRA,false,62400,62,,,,,,,,,@gmail.com,False,True,FRA       ,FRA,true,False,FRA,True,True,True,0-2,,bethune,true
age_32_38,ITA,true,80010,80,FREELANCER,,MANAGEMENT_CONSULTANCY,,,,,,@gmail.com,False,True,ITA       ,,true,False,ITA,True,True,False,0-2,,Quarto,true
age_46_52,FRA,true,75012,75,,STANDARD,,,,,,,@free.fr,False,False,FRA       ,,true,False,FRA,True,True,True,0-2,,Paris,true
